time (s),Altitude (m),Airspeed (kmh),ax,ay,GForce
98.0,15891,527,-0.1645228050880577,-0.45521691546758297,0.48403532259729104
98.1667,15867,525,-0.18973606108705623,-0.4358369366691171,0.4753457775577176
98.3333,15844,523,-0.18107095724433003,-0.4324694555548822,0.4688459464955565
98.5,15821,520,-0.16218652750615303,-0.3739144556173032,0.4075739071924113
98.6667,15798,518,-0.11322853284535227,-0.2951040251877216,0.3160808224684099
98.8333,15772,516,-0.08735642184574231,-0.26631300935738633,0.28027444298522586
99.0,15747,514,-0.03690580539650261,-0.2395784946577891,0.24240440089746063
99.1667,15722,512,0.00630061997284623,-0.1899040415385379,0.19000853350497962
99.3333,15696,510,-0.11486256090848558,-0.17380886511667512,0.20833369744619357
99.5,15671,508,-0.09511805514562534,-0.18007263935868573,0.20365068097182862
99.6667,15646,505,-0.14427506604488438,-0.20077032815837395,0.2472327230588154
99.8333,15623,503,-0.055275004206225845,-0.3239215765165181,0.32860388589142514
100.0,15600,501,0.04065428388276355,-0.2824362089658389,0.2853471270803604
100.1667,15577,499,0.1176800578261679,-0.2551017612575552,0.2809368338375673
100.3333,15550,496,0.12081456358188972,-0.2497283228191747,0.2774173642574675
100.5,15527,494,0.0797999126995649,-0.26893771627039026,0.2805272202471466
100.6667,15504,493,0.010957599952776224,-0.27163741480947984,0.2718583346544713
100.8333,15482,492,-0.04573606936810839,-0.2945848523917427,0.29811411120560743
101.0,15459,491,-0.08957403135999455,-0.3197820387565805,0.33209043859376086
101.1667,15437,490,-0.11710934949529378,-0.2997311527318826,0.3217970846002089
101.3333,15414,489,-0.1087933138168478,-0.32865247681358967,0.3461913280932355
101.5,15392,489,-0.05914747501390943,-0.3214512072081683,0.32684752166126296
101.6667,15370,488,0.001758627152915035,-0.3473789571561645,0.3473834087062411
101.8333,15349,486,-0.02914417209661958,-0.37281986630578107,0.37395726424212944
102.0,15328,485,-0.07717449429105704,-0.3775352671815166,0.38534241984876194
102.1667,15308,484,-0.1339262216450405,-0.3909303440055082,0.41323451780844916
102.3333,15287,482,-0.1649727548445726,-0.4359190703548303,0.46609167096186876
102.5,15266,481,-0.20906783098303824,-0.3917739997989737,0.4440678156210361
102.6667,15244,479,-0.22706582124363686,-0.39610476620543017,0.45657187056114806
102.8333,15220,478,-0.12875179944511833,-0.32495646095650244,0.3495335854788934
103.0,15197,476,0.002087161895766858,-0.30056275629972723,0.3005700030263639
